#format table ## [Custom WaveView] saved 13:12:48 Thu Mar 14 2024
TIME ,v(0):ALTER=1 ,v(0):ALTER=2 ,v(0):ALTER=3 ,v(0):ALTER=4 ,v(0):ALTER=5 ,v(in):ALTER=1 ,v(in):ALTER=2 ,v(in):ALTER=3 ,v(in):ALTER=4 ,v(in):ALTER=5 ,v(vdd!):ALTER=1 ,v(vdd!):ALTER=2 ,v(vdd!):ALTER=3 ,v(vdd!):ALTER=4 ,v(vdd!):ALTER=5 ,i(vdd):ALTER=1 ,i(vdd):ALTER=2 ,i(vdd):ALTER=3 ,i(vdd):ALTER=4 ,i(vdd):ALTER=5 ,i(vin):ALTER=1 ,i(vin):ALTER=2 ,i(vin):ALTER=3 ,i(vin):ALTER=4 ,i(vin):ALTER=5 ,v(out):ALTER=1 ,v(out):ALTER=2 ,v(out):ALTER=3 ,v(out):ALTER=4 ,v(out):ALTER=5 
 2.070E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.203E-04 ,-1.325E-04 ,-1.339E-04 ,-5.698E-05 ,-6.449E-05 ,-3.924E-05 ,-4.317E-05 ,-4.421E-05 ,-1.134E-04 ,-1.091E-04 , 1.490E+00 , 1.374E+00 , 1.239E+00 , 1.661E+00 , 1.572E+00 
 2.102E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.191E-04 ,-1.312E-04 ,-1.323E-04 ,-6.875E-05 ,-7.562E-05 ,-3.878E-05 ,-4.276E-05 ,-4.382E-05 ,-9.316E-05 ,-8.898E-05 , 1.456E+00 , 1.336E+00 , 1.195E+00 , 1.636E+00 , 1.543E+00 
 2.108E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.189E-04 ,-1.309E-04 ,-1.321E-04 ,-7.096E-05 ,-7.770E-05 ,-3.870E-05 ,-4.268E-05 ,-4.377E-05 ,-8.937E-05 ,-8.520E-05 , 1.450E+00 , 1.329E+00 , 1.187E+00 , 1.632E+00 , 1.538E+00 
 2.112E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.187E-04 ,-1.308E-04 ,-1.320E-04 ,-7.265E-05 ,-7.930E-05 ,-3.863E-05 ,-4.265E-05 ,-4.373E-05 ,-8.646E-05 ,-8.230E-05 , 1.445E+00 , 1.323E+00 , 1.180E+00 , 1.628E+00 , 1.533E+00 
 2.186E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.175E-04 ,-1.290E-04 ,-1.293E-04 ,-1.006E-04 ,-1.057E-04 ,-3.827E-05 ,-4.218E-05 ,-4.307E-05 ,-3.845E-05 ,-3.450E-05 , 1.365E+00 , 1.232E+00 , 1.076E+00 , 1.568E+00 , 1.465E+00 
 2.194E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.173E-04 ,-1.288E-04 ,-1.290E-04 ,-1.034E-04 ,-1.054E-04 ,-3.823E-05 ,-4.213E-05 ,-4.301E-05 ,-3.359E-05 ,-3.439E-05 , 1.357E+00 , 1.223E+00 , 1.065E+00 , 1.562E+00 , 1.457E+00 
 2.246E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.165E-04 ,-1.275E-04 ,-1.271E-04 ,-1.016E-04 ,-1.033E-04 ,-3.798E-05 ,-4.180E-05 ,-4.255E-05 ,-3.282E-05 ,-3.359E-05 , 1.301E+00 , 1.160E+00 , 9.921E-01 , 1.520E+00 , 1.409E+00 
 2.251E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.163E-04 ,-1.273E-04 ,-1.269E-04 ,-1.014E-04 ,-1.031E-04 ,-3.794E-05 ,-4.177E-05 ,-4.250E-05 ,-3.273E-05 ,-3.350E-05 , 1.295E+00 , 1.153E+00 , 9.841E-01 , 1.516E+00 , 1.403E+00 
 2.257E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.162E-04 ,-1.272E-04 ,-1.267E-04 ,-1.012E-04 ,-1.030E-04 ,-3.791E-05 ,-4.173E-05 ,-4.245E-05 ,-3.265E-05 ,-3.349E-05 , 1.289E+00 , 1.146E+00 , 9.763E-01 , 1.511E+00 , 1.398E+00 
 2.264E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.160E-04 ,-1.270E-04 ,-1.265E-04 ,-1.011E-04 ,-1.029E-04 ,-3.786E-05 ,-4.169E-05 ,-4.239E-05 ,-3.263E-05 ,-3.347E-05 , 1.282E+00 , 1.138E+00 , 9.665E-01 , 1.505E+00 , 1.391E+00 
